name,latest_release,author,home_page,project_urls,upload_time,markdown
django-read-only,1.19.0,,,"[Changelog, https://github.com/adamchainz/django-read-only/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-read-only]",2025-02-06 22:19:11.310441 UTC,- [django-read-only v1.19.0](https://github.com/adamchainz/django-read-only/blob/main/CHANGELOG.rst)
django-permissions-policy,4.25.0,,,"[Changelog, https://github.com/adamchainz/django-permissions-policy/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-permissions-policy]",2025-02-06 22:18:05.661015 UTC,- [django-permissions-policy v4.25.0](https://github.com/adamchainz/django-permissions-policy/blob/main/CHANGELOG.rst)
django-linear-migrations,2.17.0,,,"[Changelog, https://github.com/adamchainz/django-linear-migrations/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-linear-migrations]",2025-02-06 22:16:36.608621 UTC,- [django-linear-migrations v2.17.0](https://github.com/adamchainz/django-linear-migrations/blob/main/CHANGELOG.rst)
django-watchfiles,1.1.0,,,"[Changelog, https://github.com/adamchainz/django-watchfiles/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-watchfiles]",2025-02-06 22:15:50.663861 UTC,- [django-watchfiles v1.1.0](https://github.com/adamchainz/django-watchfiles/blob/main/CHANGELOG.rst)
django-minify-html,1.12.0,,,"[Changelog, https://github.com/adamchainz/django-minify-html/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-minify-html]",2025-02-06 22:15:48.552693 UTC,- [django-minify-html v1.12.0](https://github.com/adamchainz/django-minify-html/blob/main/CHANGELOG.rst)
django-cors-headers,4.7.0,,,"[Changelog, https://github.com/adamchainz/django-cors-headers/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-cors-headers]",2025-02-06 22:15:24.341120 UTC,- [django-cors-headers v4.7.0](https://github.com/adamchainz/django-cors-headers/blob/main/CHANGELOG.rst)
django-harlequin,1.5.0,,,"[Changelog, https://github.com/adamchainz/django-harlequin/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-harlequin]",2025-02-06 22:14:53.237491 UTC,- [django-harlequin v1.5.0](https://github.com/adamchainz/django-harlequin/blob/main/CHANGELOG.rst)
django-browser-reload,1.18.0,,,"[Changelog, https://github.com/adamchainz/django-browser-reload/blob/main/CHANGELOG.rst,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-browser-reload]",2025-02-06 22:14:36.870124 UTC,- [django-browser-reload v1.18.0](https://github.com/adamchainz/django-browser-reload/blob/main/CHANGELOG.rst)
django-auto-prefetch,1.12.0,,,"[Changelog, https://github.com/tolomea/django-auto-prefetch/blob/main/CHANGELOG.rst,Repository, https://github.com/tolomea/django-auto-prefetch]",2025-02-06 16:30:34.799528 UTC,- [django-auto-prefetch v1.12.0](https://github.com/tolomea/django-auto-prefetch/blob/main/CHANGELOG.rst)
django-ditto,3.5.0,,,"[Changelog, https://github.com/philgyford/django-ditto/blob/main/CHANGELOG.md,Documentation, https://django-ditto.readthedocs.io/,Issues, https://github.com/philgyford/django-ditto/issues,Source Code, https://github.com/philgyford/django-ditto]",2025-02-05 17:54:53.853117 UTC,- [django-ditto v3.5.0](https://github.com/philgyford/django-ditto/blob/main/CHANGELOG.md)
django-syzygy,1.2.0,Simon Charette,https://github.com/charettes/django-syzygy,[],2025-02-04 00:48:41.675618 UTC,- [django-syzygy v1.2.0](https://github.com/charettes/django-syzygy)
django-extra-checks,0.17.0a1,,,"[Homepage, https://github.com/kalekseev/django-extra-checks]",2025-02-03 06:36:06.316857 UTC,- [django-extra-checks v0.17.0a1](https://github.com/kalekseev/django-extra-checks)
django-admin-groups,0.3,,,"[Homepage, https://github.com/OmarSwailam/django-admin-groups,Issues, https://github.com/OmarSwailam/sdjango-admin-groups/issues]",2025-02-02 11:20:49.085476 UTC,- [django-admin-groups v0.3](https://github.com/OmarSwailam/django-admin-groups)
django-cooco,0.0.1,roberfi,https://github.com/roberfi/django-cooco,"[Repository, https://github.com/roberfi/django-cooco]",2025-01-29 18:33:29.556477 UTC,- [django-cooco v0.0.1](https://github.com/roberfi/django-cooco)
django-simple-history,3.8.0,,,"[Changelog, https://github.com/jazzband/django-simple-history/blob/master/CHANGES.rst,Documentation, https://django-simple-history.readthedocs.io/en/stable/,Homepage, https://github.com/jazzband/django-simple-history,Source, https://github.com/jazzband/django-simple-history,Tracker, https://github.com/jazzband/django-simple-history/issues]",2025-01-23 20:54:15.024737 UTC,- [django-simple-history v3.8.0](https://github.com/jazzband/django-simple-history/blob/master/CHANGES.rst)
django-charfield-filters,0.1.3,Alon Wolenitz,https://github.com/alonw0/django-charfield-filters,"[Bug Tracker, https://github.com/alonw0/django-charfield-filters/issues]",2025-01-22 09:52:12.155193 UTC,- [django-charfield-filters v0.1.3](https://github.com/alonw0/django-charfield-filters)
django-email-relay,0.5.0,,,"[Documentation, https://django-email-relay.westervelt.dev/,Issues, https://github.com/westerveltco/django-email-relay/issues,Source, https://github.com/westerveltco/django-email-relay]",2025-01-21 18:21:53.343926 UTC,- [django-email-relay v0.5.0](https://github.com/westerveltco/django-email-relay)
django-opfield,0.2.0,,,"[Documentation, https://django-opfield.westervelt.dev/,Issues, https://github.com/westerveltco/django-opfield/issues,Source, https://github.com/westerveltco/django-opfield]",2025-01-21 17:52:43.779607 UTC,- [django-opfield v0.2.0](https://github.com/westerveltco/django-opfield)
django-q-registry,0.5.0,,,"[Documentation, https://django-q-registry.westervelt.dev/,Issues, https://github.com/westerveltco/django-q-registry/issues,Source, https://github.com/westerveltco/django-q-registry]",2025-01-21 17:36:50.542973 UTC,- [django-q-registry v0.5.0](https://github.com/westerveltco/django-q-registry)
