project,downloads_count
django-nativeshortuuidfield,1338
dj-paste,1337
django-redis-autocompleter,1337
django-hidp-django-admin,1337
django-dynamic-contents,1337
django-vises,1336
django-postmark,1334
django-coreplus,1334
django-mongonaut,1334
django-admin-background-task,1334
django-json-rpc,1333
djaodjin-extended-templates,1330
django-googler,1330
django-mapstore-adapter,1330
djapy,1329
django-easyjwt,1329
django-letsencrypt,1329
django-generic-filters,1328
django-cart,1327
drf-aggregation,1327
django-rest-survey,1326
django-admin-oauth2,1324
django-cache-with-mongodb,1323
django-flyio,1323
django-integrator,1323
django-ckc,1322
djingles,1322
django-admin-material-dashboard,1321
django-filtering,1320
django-cancan,1319
django-dashub,1319
django-matplotlib,1318
django-bigbluebutton,1318
django-itemlist,1318
django-nopassword,1318
django-convenient-formsets,1315
django-iplant-auth,1315
django-logdb,1315
django-orion-model,1314
djangoldp-ds4go,1314
django-dans-api-toolkit,1314
django-athm,1313
django-randomslugfield,1311
django-preferences,1310
django-angular-dynamic-forms,1309
django-flashpolicies,1309
django-bootstrap-sidebar,1308
django-graphene-permissions,1308
django-fluent-comments,1308
django-sphinx-hosting,1308
django-flexible-reports,1306
django-docrootcms,1306
django-congo,1305
django-jsoneditor-widget,1302
django-dynamic-breadcrumbs,1301
django-dkim,1301
djangocassandra,1301
django-zappa,1301
djangoplus,1300
django-filternaut,1299
django-richmin,1299
django-remote-submission,1298
django-geoip2-extras,1297
django-compressor-autoprefixer,1295
django-editor-ymaps,1294
django-ucam-apigatewayauth,1294
django-telethon,1292
django-login-history2,1291
django-admin-smoke,1289
django-generic-scaffold,1288
django-toolshed,1288
django-openai-assistant,1287
django-model-builder-service,1287
django-user-language-middleware,1287
django-denorm-iplweb,1286
django-postgres-setfield,1285
django-logic,1282
drf-auth-service,1281
django-genome,1281
dj-chartjs,1280
django-app-parameter,1280
dj-paypal,1280
django-cloudinary-helper,1280
django-audimatic,1278
django-includes,1276
django-saas-sso,1275
django-admin-two-factor,1274
django-omnitenant,1274
drf-enum-field,1274
django-deferred-polymorph,1274
django-admin-select2,1273
django-paranoid-model,1272
django-template-check,1270
django-viewclass-mixins,1269
django-safe-emailbackend,1269
django-bridge,1269
django-user,1268
django-tinymce4-widget,1268
django-s3-express-cache,1268
django-cruditor,1268
django-searchable-select,1266
django-medicio-dental,1266
django-meili,1265
django-merlin,1264
django-piston-cs,1263
django-node-modules,1263
django-buckets,1262
django-emailthis,1261
django-ldapdb,1261
django-testing-utils,1261
django-oauth2,1260
django-jsonfallback,1260
django-google-optimize,1257
django-react-tools,1257
django-politico-slackchat-renderer,1257
django-inmemorystorage,1255
django-keycloak-sso,1254
django-cpf,1254
django-secrets-fields,1253
django-settings-env,1252
django-rabbitmq,1250
django-plans-paypal,1249
django-grappelli-autocomplete-fk-edit-link,1249
django-angular-scaffold,1248
django-datashow,1248
django-msp-facturaglobal,1247
django-subject-imagefield,1246
django-validators,1245
djheroku,1245
django-workflow-system,1245
django-nanopages,1244
django-dynamic-paginator,1242
django-slugify-processor,1242
django-huey-stubs,1240
django-ai-boost,1239
django-clite,1239
django-ocr-translate,1239
django-vite-boilerplate,1238
django-utilitybox,1238
django-comments-dab,1238
django-client-side-image-cropping,1238
django-rest-framework-signature,1236
django-painless-redirects,1236
django-feather,1236
django-tiamat,1236
django-oscar-webpay,1235
django-telegram-framework,1234
django-manifeststaticfiles-enhanced,1234
django-munigeo,1234
django-df-survey,1233
django-classified,1233
django-ajax-helpers,1233
django-historicalrecords,1232
django-admin-list-charts,1232
django-axe,1231
django-uni-form,1231
django-dynamic-storages,1231
django-create-react-app,1230
django-package-monitor,1230
django-cloud-deploy,1229
django-db-multitenant,1228
djinga,1228
django-napse,1228
django-webidoidc-provider,1227
django-admin-column-toggle,1227
django-tabbed-changeform-admin,1226
django-daguerre,1225
django-typed2django,1224
django-content-blocks,1224
django-payslip,1224
django-helpful,1222
django-absoluteuri,1222
django-async-downloads,1220
django-admin-adminlte,1219
django-google-structured-logger,1216
django-page-cms,1216
django-autogfk,1214
django-danceschool,1214
djpractlelo,1214
django-log-reader,1214
djangorestframework-csv-3,1213
django-next-url-mixin,1211
django-pipeline-browserify,1210
django-pydash-app,1210
drf-api-checker,1210
django-drf-cms,1210
django-gsheets,1209
django-telegram-app,1209
dji-geotagger,1207
django-editorjs,1207
django-tui,1207
django-object-tools,1207
django-subdomains,1206
drf-msal-jwt,1205
django-userextensions,1205
django-oppia,1204
django-donations,1204
django-odk,1203
django-digg-paginator,1202
django-encrypted-files,1202
django-simple-ip-restrict,1200
django-saml2-pro-auth,1200
djaodjin-rules,1199
django-vote,1198
django-anysign,1197
wagtailyoast,1197
djangoasyncadmin,1197
django-readonly-model,1197
django4-tabbed-admin,1197
django-recommends,1196
drf-file-upload,1196
django-localdevstorage,1196
django-users-auth,1195
django-reorder-admin,1194
django-test-utils3,1193
django-report-utils,1192
django-access-inspector,1192
django-reporting-endpoints,1191
django-anexia-monitoring,1190
django-sortable-listview,1190
django-admin-honeypot1,1190
django-french-highschool,1189
django-stuff,1188
django-bankreader,1188
django-gem,1187
django-jfu,1187
django-lookup-tables,1186
django-vb-admin,1186
django-simple-elasticsearch,1186
django-iban,1186
django-reportcraft,1185
django-werkzeug,1184
django-informixdb-vault,1183
django-tellme,1183
django-react-components,1183
djorm-pgarray,1182
django-apollo-forms,1182
django-webmaster-verification,1182
django-facebook-api,1181
djhx-bilix,1179
django-dumpdata-one,1179
django-google-api,1177
drf-yaml,1177
django-reactive,1176
django-cloudflareimages-toolkit,1176
djangorestframework-jwt-4,1176
django-excel-tools,1175
django-agenda,1174
django-tailwind-4,1174
drf-multi-lookup,1172
django-custom-user-models,1172
django-countries-hdx,1171
django-carton,1170
django-sql-explorer-squad,1170
djangoldp-esa,1170
django-hearthstone,1168
django-music-publisher,1167
django-superadmin,1165
django-template-engines,1165
django-cms-articles,1163
django-vendor-promo,1163
django-sns-view2,1162
django-peertube-runner-connector,1161
django-rss-plugin,1161
django-alphafilter,1161
django-queue-manager,1159
django-session-header,1159
django-fixture-media,1158
django-alert,1157
django-admin-filter,1155
django-quizblock,1155
django-settings-context-processor,1154
drf-friend,1154
django-lockmgr,1153
django-ajax-image-upload,1153
django-googledrive-storage,1153
django-watermark,1152
django-trips,1151
django-livereload,1150
django-custom-admin-pages,1150
django-responsive-tables2,1149
django-cache-helper,1149
django-versionator,1148
django-kubernetes-manager,1148
django-inspect-tasks,1148
django-user-notification,1148
wagtail-favicon,1147
django-staticinline,1147
django-silly-auth,1147
django-walrus,1147
django-frontera,1146
django-systemjs,1145
django-automations,1145
django-dashing,1143
django-controlled-vocabulary,1143
django-connection-url,1140
django-nocaptcha-recaptcha,1139
django-bigquery-exporter,1139
django-async-stream,1139
django-array-tags,1138
djangocms-stories,1138
django-proxy-server,1137
django-pgstats,1137
django-group-role,1137
django-dynforms,1136
django-reactor,1136
django-bg-task,1135
django-htmx-messages,1135
django-clickify,1134
djambase,1133
django-chunked-iterator,1133
django-politico-fake-news,1133
django-nats-nkeys,1132
django-old-new-history,1131
django-on-chain,1129
django-powercrud,1129
django-sphinxdoc,1128
django-lucide-icons,1127
django-accounts-api,1127
django-extended-history,1126
django-redirects,1126
django-session-csrf,1126
django-rblog,1125
django-process,1125
django-todo,1124
django-crossdomainmedia,1123
django-matomo,1123
django-checkbox-normalize,1123
django-template-analyzer,1123
django-extensions-shell,1123
django-whatsapp-business-api-is,1123
django-tracking-analyzer,1123
django-suit-v2,1123
django-notifications-rest,1123
django-request-logger-2,1122
django-os-geocoder,1121
django-swagger-tester,1121
django-lookbook,1121
django-confetti,1120
django-mirror,1119
django-admin-anchors,1118
django-truncate,1118
django-backoffice-extensions,1117
django-blocknote,1117
django-email-multibackend,1117
django-suit-locale,1117
django-robots-and-sitemap,1116
djangoldp-i18n,1116
djutil,1115
wagtailplus,1114
django-turbo-helper,1114
django-dynamic-structure,1113
django-lionheart-helpers,1113
djangocms-form-builder,1112
django-geoip,1111
django-countries-states-cities,1111
django-nested-modals,1111
django-bkendoz,1110
django-fontawesome,1109
django-planet,1109
django-anylink,1108
django-http-exceptions,1107
django-urlqueryset,1107
djangoldp-contact,1106
django-feedback-govuk,1106
django-fhadmin,1106
django-oscar-testsupport,1104
django-blackhole,1104
django-pdf-actions,1104
django-serializer,1103
django-favicon-plus,1103
django-mass-migration,1102
django-lazycrud,1102
django-catalog,1102
djangorestframework-versioning,1102
django-admin-autocomplete-filters,1101
django-pony-forms,1101
django-admin-otp,1101
django-admin-extras,1101
djmicrosip-polizas,1100
django-saml2-auth-metadata-inline,1100
django-frozen-field,1100
djangocms-comments,1098
django-email-users,1098
django-dynproxy,1098
django-pdf-view,1098
django-development-fabfile,1097
django-online-docs,1097
django-magic-authorization,1096
django-rework,1096
django-geostore,1096
django-rest-xauth,1096
django-post-deploy,1095
drf-plus,1095
django-jwt-auth,1095
django-mint,1094
django-magic-tables,1094
django-slxauth,1093
django-workflow-engine,1093
dju-common,1092
django-rescuests,1091
django-oscar-pg-search,1090
django-admin-helpers,1090
django-encrypted-cookie-session,1089
djangorestframework-recaptcha,1089
django-static-engine,1089
django-pay2,1089
dj-extensions,1088
django-filthyfields,1088
django-chartwerk,1088
django-esewa,1087
django-minipg,1087
django-vehicle-models,1087
drf-amsterdam,1086
django-cryptapi,1085
djangocms-misc,1085
django-chosen,1084
drf-dx-datagrid,1083
django-settings-file,1082
djangodav,1082
django-w-blog,1082
django-thumbs-v2,1082
django-safe-settings,1081
dj-pony-tenant,1080
django-generic-positions,1080
drf-friendly-errors-mod,1079
django-describer,1079
django-amiqus,1078
django-admin-shellx,1078
django-lscache,1078
django-cyverse-auth,1078
dj-spinners,1077
django-rest-auth-forked,1077
django-secretballot,1076
django-mqueue,1076
django-ucamwebauth,1076
django-custom-anonymous,1076
django-ohm2-handlers-light,1076
django-permission-engine,1074
django-ldaporm,1074
django-manticore,1074
django-admin-rangefilter-jazzmin,1074
django-fretboard,1074
django-constance-register,1074
django-project-checks,1073
django-endless-pagination,1073
django-group-model,1072
django-ninja-simple-jwt,1072
drf-history,1071
django-zebra,1071
django-status,1071
django-vox,1070
django-dynamic-initial-data,1070
django-unfold-admin-list-filter-dropdown,1070
django-email-queue,1069
django-glitter,1069
django-proemail-template,1069
django-fabfile,1068
django-contractor,1068
django-admin-keyshortcuts,1066
django-admin-tools-stats,1065
dj-environ,1065
django-admin-honeypot-blag,1065
django-forms-plus,1064
django-simple-file-handler,1063
django-server-testing,1063
django-zupit-logging,1062
django-time-wizard,1061
wagtail-ninja,1060
django-easy-validator,1059
django-unmanaged-forgejo,1058
dj-taggit-serializer,1058
django-ckeditor-link,1058
django-keycloak-lma,1058
django-podle,1057
dj-triggers,1057
django-pagarme,1055
django-likes,1054
django-smart-lists,1053
django-pyas2,1053
dj-static-revision,1052
django-vite-ssr,1052
django-interval,1050
djorm-ext-pgfulltext,1049
django-cumulus,1049
django-dash,1048
django-redis-sentinel,1047
django-w-docs,1047
djangocms-link-all,1047
django-data-sdk,1046
django-quickapi,1045
django-healthz,1045
djamal,1045
django-async-orm,1044
django-drip-campaigns,1044
django-idmap,1044
djmigrator,1044
django-screamshot,1044
django-tokenauth,1043
django-magnet-data,1041
django-pyhub-ai,1040
django-recurring,1040
django-adminlte-admin,1039
django-superset-integration,1039
django-static-class-minifier,1039
django-fcm,1038
django-politico-issues-tracker,1038
django-dbfilestorage,1037
django-visual-editor,1037
django-i3tasks,1036
django-pynotify,1036
django-tastypie-swagger,1035
djangocms-helpers,1035
django-pesapal,1035
django-admin-page-api,1034
drf-api-logger-with-user,1034
django-jwt-2fa,1033
django-joplin-vieweb,1033
django-vectordb,1033
django-historical-currencies,1033
django-auth-pubtkt,1033
django-k8s-health-check,1032
django-kakebo,1032
django-askell,1031
django-massmedia,1031
django-plainpasswordhasher,1031
dj-auth,1031
django-tapeforms,1031
django-mongolight,1030
django-static-delivery,1030
django-skivvy,1030
django-help-me,1029
drf-pretty-exception-handler,1029
django-github-app,1028
dj-currencies,1026
django-dag,1026
django-i18next,1026
django-simplify,1025
django-celery-with-redis,1025
django-model-controller,1025
django-siteblocks,1025
django-hidp-wagtail,1024
django-mellon,1024
django-actionable-messages,1022
django-multitenancy-manager,1022
django-orghierarchy,1021
django-polyglot-translator,1020
django-safe-filefield,1019
django-audiofield,1019
django-simple-org,1018
django-multi-import,1018
django-extra-field-validation,1017
django-voice,1017
django-goals,1017
django-gunicorn,1017
django-zana,1017
django-timedeltatemplatefilter,1016
django-xladmin-enhanced,1015
django-forcedfields,1015
django-async-include,1013
django-crispy-contact-form,1011
django-geojson-serializer,1010
django-yaturbo,1010
django-codenerix-extensions,1008
django-text-translator,1008
django-admin-recent-inlines,1008
django-rangepaginator,1007
django-comuni-italiani,1007
django-trench-reboot,1006
django-image-sitemaps,1006
django-sundial,1006
django-ultimatethumb,1005
django-pg-hll,1004
django-http-monitor,1004
django-frontend-forms,1001
django-utk,1001
django-virtual-models,1001
django-encrypted-id,1001
django-relatives,999
django-admin-commands2,999
django-fontawesome-6,998
django-boilerplate,997
django-wailer,997
django-rest-framework-proxy,997
django-model-helpers,996
djitellopy2,996
django-cavalry,996
django-admin-log-control,995
drf-tools,995
drf-serializer-prefetch,995
django-request-signer,993
django-finalware,993
django-literature-knowledgebase,993
django-business-logic,993
django-concurrent-test-helper,992
django-iran-sms,992
django-loki,992
django-expanded-test-cases,991
djhx-blogger,991
django-workos,991
django-require,990
django-html5accordion,990
django-simplemde,989
django-spreedly,989
django-cra-helper,988
django-full-kit,988
django-uptime,988
django-filtered-datatables,987
django-more,987
djehuty,986
django-pg-upsert,986
django-localized-recurrence,985
django-permanent,985
django-model-mixin,985
django-babel-underscore,984
django-flex-pubsub,983
django-quotes,983
django-oauth-tokens,982
django-base64field,981
django-category,981
django-data-sources-tracking,981
django-sage-seo,981
django-statsd-unleashed,981
django3-dash,980
django-inplaceedit,980
django-rest-framework-keycloak,979
django-er-diagram,979
django-admin-black,979
django-ticketbai,979
django-hashers-passlib,979
django-sitegate,978
django-photofile,978
django-epfl-entra-id,978
django-j2fa,977
djinitx,976
dj-polyglot,976
django-admin-wizard,976
django-tutelary,976
django-billjobs,976
django-graphql-google-accounts,976
django-psa,975
drf-nested-fields,975
djsailthru,974
django-migration-resolver-hook,974
django-cked,974
django-genomix-workflows,974
django-qiyu-utils,973
djangx,973
django-ohm2-accounts-light,973
django-fastapi-async,973
django-forms-fieldset,972
django-extension,972
django-celery-ses,972
django-entra-auth,971
django-db-translate,971
django-initials-avatar,970
django-sqs-extended-client,970
django-country2,970
django-auth0-user,969
django-issue,969
drf-gears,967
django-ya-model-publisher,967
django-suave,967
wagtail-fedit,967
django-utility-suite,966
django-generic-token-authentication,966
django-good-practice-examples,966
django-slugger,966
django-pwned-passwords,965
django-atomic-celery,965
django-contentor-video-processor,965
django-datatable,964
django-skrill,963
django-registration-rest-framework,963
django-b2,962
django-webstack,962
django-sendmail-backend,962
django-logger-extra,962
django-compositepk-model,962
django-francedata,961
django-fsm-admin2,960
django-mercadopago,960
django-plus,960
django-sendsmsru,960
django-ilmoitin,959
django-html-validator,959
wagtail-blog,959
django-anonymise,959
django-rgallery,959
django-admin-kit,958
django-site-configs,958
django-carpet,958
django-admin-argon-dashboard,958
django-rungevent,958
django-transcribe,958
django-rest-form-fields,957
django-captcha,957
django-kernel,957
django-simple-files,956
django-input-mask,956
django-simple-saml,956
django-auto-permissions,955
django-example,955
django-transitions,955
django3scaffold,954
django-cheetahtemplate,954
drf-request-client,954
django-geopositionmap,954
django-http-requests-debug-toolbar,953
django-dataexporter,953
django-like-lookup,953
django-microsip-consolidador,953
django-indieweb,952
django-hawk-drf,952
django-pages-cms,952
django-online-users,952
django-uwsgi-taskmanager,951
djangocms-xliff,951
django-confirmanager,950
django-cloud-tasks,950
django-ipghrms-employee,950
django-genomix,949
django-kubernetes,948
django-era,948
djangorestframework-mango,948
django-netjsongraph,947
django-commands-suite,947
django-auto-drf,947
django-svelte,947
django-filtering-ui,947
django-konst,946
django-custom-field,946
django-tenant-schemas-q,945
django-chaos,945
django-eremaea2,944
django-redis-cache-qube,944
django-template-update-get,944
django-safe-template-engine,944
django-pwned,944
django-germanium,943
wagtail-localize-dashboard,943
django-dump-load-utf8,943
django-pg8000,942
drf-pydantic-openapi,942
django-openapi,942
django-imdb,942
django-opt-out,941
django-advanced-pdf,941
django-persistent-messages,941
django-spicedb,941
django-nav-spec,939
django-zapier-triggers,939
django-torque-semantic-search,938
django-access,938
drf-openapi3,937
djes,937
django-swifty,936
django-delayed-notifications,936
django-epfl-mail,935
django-pjax,935
django-bocor-ds,935
django-debug-toolbar-user-panel,935
django-streaming,934
django-easy-images,934
django-simple-import,933
django-pgjsonb,932
django-anysearch-dsl,932
django-mp-invoices,932
django-pdr,930
django-safe-migrations,929
django-bootstrap-markdown,928
django-stachoutils,928
drf-captcha,928
django-base-shop,928
drf-common-exceptions,928
django-admin-sync,928
django-alpine,928
django-htmx-refresh,927
django-plans-payments,927
dj-logging,927
django-graphene-firebase-auth,927
django-flower,927
django-mandrill,927
django-env-settings,926
django-workers,925
djaloha,924
django-bob,924
django-easytests,923
django-qs2csv,922
django-lazy-image,921
django-jsheet,921
django-mmc,920
django-email-signals,920
django-ebaysync,919
djblue-portal,919
django-rich-logging,919
django-googlesearch,919
django-robots-txt,919
djangocms-aldryn-newsblog,918
django-snippetscream,918
django-fractions,918
django-taskq,917
django-crm-admin,917
djaodjin-multitier,917
django-medilab-dental,916
django-scarface,916
django-inteliger-test,915
django-separated,915
django-analog,915
django-apiview,914
django-qa,914
django-frontadmin,914
djangorestframework-jwt-5,914
django-crispy-formset-modal,914
django-gipsy,914
djangoldp-hiphopcommunity,914
django-surface-theme,913
django-usefathom,913
django-super-inlines,913
django-generic-links,912
django-pascal-templates,912
django-cloudflare-push,911
djpay,911
django-apis,910
django-statsd-prom-exporter,910
django-azure-ad-auth,909
django-graphql-playground,908
django-typesense,908
dj-brevo,908
django-tree,907
django-user-activities,907
django-messages-drf,907
django-scrapyd-manager,906
django-studiogdo,906
dj-all-auth,905
django-migration-dependencies,905
django-dynamic-filters,905
django-apiblueprint-view,904
django-event-system,904
django-suit-v2-pm,903
django-tidings,903
django-static-root-finder,903
django-geonode-client,902
django-mobileu,902
django-form-designer-ai,901
django-microservice-request,901
django-clever-selects,900
django-joinfield,900
djecrety,898
django-collectionfield,898
django-notifications-pro,898
django-photofolio-ds,897
django-amqp,897
django-sage-painless,897
djangokarat,897
django-unfold-extra,896
django-howl,896
django-preferences-utils,895
django-smoke-tests,895
django-cryptographicfields,895
django-flex-menu,895
drf-toolkit,895
django-sampledatahelper,894
djangosharepointstorage,894
django-all-in-one-accessibility,893
django-vkontakte-users,892
django-better-json-widget,892
django-cypress,891
django-local-lib-pycon2025,891
djangorestfilemanager,891
wagtail-personalisation-molo,890
wagtail-photo-gallery,890
djangy,890
django-templates,890
djangocms-listyle,890
django-rest-sms-auth,890
django-server-timing,890
django-html-dumper,889
django-celery-tracker,888
django-extensions-models,888
django-cookiefilter,888
django-admin-buttons,887
django-future-tasks,887
django-tilestache,887
django-selectel-storage,887
django-http-fallback-storage,887
django-sitecats,886
django-auth-ldap3,886
django-email-sender,885
django-leaflet-admin-list,885
django-location-maps,884
django-js,884
django-bloxby,884
django-db-anonymiser,883
django-parcel-ssr,883
django-configuration-management,883
django-object-manager,883
django-litestream,883
djangoldp-component,882
django-memberpress-client,882
django-safespace,882
django-kanban-budget,882
django-missing,882
django-wait-for-db,882
django-tracking-fields,881
django-oai-pmh,881
django-account-locker,880
django-vue-start,879
django-remix-icon,879
django-theme-academy,879
django-email,879
django-urldecorators,878
django-anonymous,877
django-jinja-markdown,877
django-admin-utils,876
django-object-safety,876
django-twilio-access-token,876
django-admin-locking,876
djangocms-rest,876
django-bunny-storage,875
django-template-reports,875
django-clear-memcache,875
django-fsmedhro-core,875
django-pit-survey,874
django-freeze,874
django-shortuuid,873
wagtail-robots,873
dj-querytools,871
dj-celery-panel,871
django-lfc,871
django-oscar-stores,869
dj-lucide,869
django-mcmo,868
django-api-gateway,868
django-moj-template,868
django-categories-api,868
django-calculation,867
django-turbo-orm,866
django-transtool,866
django-resonant-utils,865
django-pam,865
django-prefetch-values,864
django-notify-x,864
django-app-namespace-template-loader,862
django-rester,861
django-admin-keycloak,860
wagtail-rangefilter,860
django-chronos,860
django-confy,859
djantimat,859
django-util,859
django-willing-zg,858
django-jp-birthday,858
django-global-requests,858
django-sentinel,857
django-wrapper-tag,857
django-sockpuppet,857
django-layers-hr,856
django-viewgroups,856
django-tabler-icons,856
django-unfold-rtl,855
django-hugeicons-stroke,855
django-plugins-bihealth,853
djangorestframework-nimbus,853
django-eggplant,853
django-vkontakte-wall,852
djangocms-algolia,852
djinsight,852
django-pageblocks,852
django-json-api,852
django-menus,851
django-openpay,851
django-exordium,851
django-moncash,851
django-compress-storage,850
django-oidc-admin,850
django-factory-boy-generator,850
django-jet-calm,850
drf-lighten,849
drf-keyed-list-bihealth,849
djangomix,849
django-user-login,848
django-foundation-formtags,848
django-auth-dingding,848
django-slug-preview,848
djmicrosip-tareas,848
django-editorjs2,847
django-graphql-jwt-oauth2,847
django-ssh-deployer,846
django-metachoices,846
django-growl-notifier,846
wagtailtinymce,846
django-easy-docs,845
djangocms-maps,845
django-better-elided-pagination,845
django-user-tags,844
django-bootstrap-ui,844
wagtail-localize-smartling,844
django-downtime,843
django-cloudwatch-metrics,842
django-ipghrms-leave,842
django-case-insensitive-field,841
django-sage-blog,841
django-simple-account,841
django-belt,841
django-dowser,841
django-crisp-modals,841
django-business-rules,840
django-environment-config,840
django-url-robots,840
django-setuptest,840
djeasyview,840
djangorestframework-rapidjson,840
django-heralder,839
django-adminlogentries,839
django-fluo,838
wagtail-model-forms,838
django-orm-views,838
django-rest-admin,838
django-databrowse,837
django-storage-webdav,836
django-viewwork,834
django-modeladmin-reorder-reborn,834
django-kong-admin,834
django-podcast-analyzer,834
django-simple-markdown,833
django-saml2-auth-signout-slo,833
django-jsdir,833
django-simple-options,833
djaq,832
djam,832
django-croppy,832
django-oscar-iyzipay,831
django-idom,830
django-vb-baseapp,830
django-dajaxice-ng,830
djmicrosip-reportes,830
djcms-blog,829
django-multilingual-orgs,829
django-leek,828
django-pgallery,827
django-import-export-stomp,827
dj-notify,827
django-simple-shop,827
django-test-utils,827
django-highrise,826
django-sage-tools,826
drf-reset-password,824
django-fancytree,824
django-djeddit,824
django-projector,824
django-incident-response,824
django-pythonic-menu,823
django-onlineuser,823
django-registry,823
django-freeipa-auth,822
django-plugshop,822
django-microsip-consultaprecio,821
django-actionlog,820
djmicrosip-orden-trabajo,820
django-oasis4-auth,820
django-private-media,818
django-phrase,818
django-image-assets,818
django-tab-menus,817
django-markdown-view,817
djangocms-aldryn-search,817
djangoessentials,817
django-saas-domain,817
django-allauth-require2fa,817
django-zurb-foundation,817
django-migrations-tui,817
django-pgfields,816
django-language-field,816
django-unslashed,816
django-export,816
django-siteprefs,816
django-df-api-drf,815
django-restraint,815
django-activelink,815
django-urr,815
djando,815
django-imagefit,814
django-simple-avatar,813
django-online-issues,813
django-extended-ol,813
djcli,812
django-ok-redirects,812
django-navsy,812
django-access-point,812
django-scoped-permissions,812
django-tango,811
django-automatic-crud,811
django-frontend-kit,811
drf-comments,810
django-rest-swagger-zhc,810
django-hide-admin,810
django-ok-images,810
django-pgjson,810
django-crudbuilder,810
django-ddd-template,810
django-easy-faq,809
drf-shapeless-serializers,808
django-ckeditors,808
django-soet,808
django-plausible,808
django-admin-autocomplete-list-filter,808
django-collect-offline,808
django-mazer,808
django-search-forms,807
django-fine-uploader-s3,807
django-caps,807
django-moo,806
django-paypal-plus,806
django-chutney,805
django-ace-overlay,805
django-ripple,805
django-rest-framework-query-tools,805
django-serverless-cron,805
django-earlyparrot,804
django-mysqlpool,804
drf-response-wrapper,804
drf-query-filter,803
django-urlographer,803
djangoforandroid,802
wagtail-import-export,802
djangostreetmap,801
django-usage,801
django-ga-measurement-protocol,801
django-microapi,801
django-w-careers,801
django-small-view-set,800
django-stripe-payments,799
django-pagseguro2,799
django-khalti-integration,798
dj-analytics,798
django-buttons,798
djangae,798
django-radiogrid,796
djangondor,796
django-codenerix-geodata,796
django-admin-advanced-search,795
django-pwa-webpush,794
django-money-rates,794
django-redis-sessions-fork,793
django-es-drf,793
django-dummy-thumbnails,793
django-aws-ses,793
django-messages-ui,792
django-ndarrayfield,792
django-domains,792
django-phenotype-ontologies,792
django-modern-csrf,792
django-tailwindcss-automated,790
django-synth,790
django-admin-export-action,790
django-translate-gettext,789
django-static,788
django-bread,788
django-admin-boost,788
django-sites-microsoft-auth,788
django-task-api,788
wagtailset,787
django-query-analyzer,787
django-translate-po,787
django-createsuperuserwithpassword,786
django-asset-server-url,786
django-fmd,786
django-text,785
dj-sinp-organisms,785
django-htmx-tools,785
django-context-memory,784
django-resilient-logger,784
django-ip-access-middleware,784
django-admin-timeline,783
django-virtualqueryset,783
dj-beat-drop,783
django-itelegram,783
django-atom,783
django-jstemplate,783
django-signoffs,783
django-query-builder-widget,782
django-rubble,782
django-email-from-template,782
django-rss-filter,781
django-issue-capture,781
django-lfstheme,781
django-helcim,780
django-tests,780
django-wechat-qrcode,780
django-modeltrans-tabs,779
django-email-validators,779
feincms3-language-sites,779
django-flowcontrol,779
django-choicefield,778
django-templated-email-md,778
django-ok-likes,778
django-bootstrap-dynamic-formsets,777
django-mp-cap,777
django-genomix-users,777
django-addendum,777
wagtail-experiments,777
django-pyctx,777
django-exclusivebooleanfield,776
django-aws-api-gateway-websockets,776
django-journal,776
django-adx,776
django-ems-r25,775
django-admin-vali,775
django-middleware-fileuploadvalidation,775
django-context-request,775
django-jsanctions,775
django-notifications,775
drf-keycloak,775
django-postgres-lock,774
django-mitre,774
djangorestframework-custom-exceptions,773
django-cs-robots,773
django-hogwarts,772
django-easy-timezones,772
django-admin-kubi,772
django-guardian-queryset,771
django-inspectional-registration,771
django-mail-office,771
django-admin-sort,770
django-brackets,770
wagtail-ace-editor,769
django-templateaddons,769
django-register-field,768
django-tinycontent,768
django-feedparser,767
django-hooks,767
django-updater,767
django-audit-trail,767
django-ldap-sync,767
dja-sepp,767
django-sitesutils,766
django-export-download,765
django-thjodskra,765
django-qiyu-sso,765
django-jwt-allauth,765
django-slumber,765
django-cloud-storages,765
django-mp-basement,764
django-scan-models,763
django-overcomingbias-pages,763
django-cache-otp,763
django-profiler-vmprof,763
django-ghostdown,763
django-gbase8s,761
django-admin-data-export,761
dj-drf-utils,761
wagtail-localize-git,761
django-secure-auth,760
django-ohm2-handlers,760
django-zengo,760
django-db-log,760
django-utils-plus,759
django-brick-astley,759
djcompiler,758
django-grainy,758
django-search-input-field,758
django-elasticsearch-metrics,758
django-choice-enumfields,758
django-classic-user-accounts,757
django-ghost,757
django-space,757
django-ads,757
django-pistoke,757
django-cjkcms,757
django-protoni,757
django-admin-caching,756
django-github-sso,756
django-datatablesview,755
django-debug-queries,754
djangofp,754
django-talar,754
mezzanine-references,754
django-super-favicon,753
django-celery-extensions,753
django-dynamic-model-validation,753
django-simple-third-party-jwt,752
django-stylist,752
django-template-helpers,752
django-rehive-extras,752
django-eventhandler,752
django-tree-view,752
django-onetimelink,751
django-currencies-fork,750
django-drifter,750
django-sql-debug,750
django-wechat-base,750
drf-material,750
django-livesettings3,750
django-mobile-detect,750
django-cdk,750
django-marcus,750
django-server-logger,749
djoffers,749
django-integrations,749
django-rest-framework-redocs,748
django-autodrp,747
django-admin-conf-vars,747
django-heroku-postgresify,747
django-regex-match,746
django-mercadopago-simple,746
django-tink-fields,746
django-neurobank,746
django-random-id-model,746
django-cosmograph,746
django-dbfiles,745
django-api-base,744
