project,downloads_count
wagtail-modeladmin,81418
django-jsoneditor,80986
django-impersonate,80556
django-sql-utils,80240
django-subatomic,79903
django-contrib-comments,79606
django-ajax-selects,78403
django-qr-code,78341
django-activity-stream,78149
django-elasticsearch-dsl-drf,77947
django-zen-queries,76337
django-markdownx,75690
django-request-id,74517
django-organizations,73555
django-cursor-pagination,73140
django-bleach,73063
django-netfields,72973
django-cognito-jwt,72787
django-dynamic-preferences,72770
django-summernote,71482
django-python3-ldap,71250
django-defender,70724
djangosaml2idp,70676
django-leaflet,70629
django-zxcvbn-password-validator,70115
django-compression-middleware,69782
django-wkhtmltopdf,69618
django-viewflow,69587
django-redis-cache,68238
django-dynamic-fixture,68167
django-tastypie,67791
django-user-sessions,66314
django-admin-env-notice,66267
django-bitfield,65927
django-tenant-users,65749
django-easy-audit,65702
django-components,65369
django-post-office,65359
django-modeltree,64984
django-extended-choices,64712
django-admin-csvexport,63964
django-redis-sessions,63457
django-enum,63416
django-authlib,63280
django-nonrelated-inlines,63215
django-valkey,62583
django-perf-rec,62580
django-cron,62216
django-dbconn-retry,61595
django-cprofile-middleware,61516
django-db-geventpool,61370
drf-excel,61326
drf-access-policy,61237
django-templated-email,61093
django-registration-redux,60447
django-settings-export,60185
django-session-security,59688
django-background-tasks,59503
django-smart-selects,59178
django-invitations,59124
django-more-admin-filters,59072
django-heroku,58874
django-nested-inline,58253
django-fsm-log,58081
django-vies,57676
django-el-pagination,57618
django-decorator-include,57314
django-chunkator,56936
django-private-storage,56766
django-choices-field,56285
django-cid,56275
django-service-objects,55622
django-plotly-dash,55505
djc-core-html-parser,55467
django-slowtests,55230
django-resized,55151
django-oscar,54677
django-js-reverse,54555
django-mjml,53755
django-compat,53061
django-datatables-view,53005
django-queryinspect,52968
django-notifications-hq,52919
dj-static,52901
django-test-without-migrations,52759
django-typer,52610
django-rest-multiple-models,52449
djongo,52337
djade,52196
django-treenode,51567
django-multidb-router,51278
wagtail-localize,51248
django-ldap,51035
django-admin-extra-buttons,51015
django-q,50783
django-click,50597
django-devserver,50405
django-clickhouse-backend,50277
django-sri,49797
django-user-accounts,49697
django-analytical,49332
djangorestframework-queryfields,49273
django-amazon-ses,49148
django-password-validators,48837
django-robots,48472
django-multitenant,48225
djangocms-attributes-field,47645
django-statsd-mozilla,47285
django-colorful,47243
djangorestframework-bulk,47144
django-embed-video,47020
django-s3direct,46264
django-etc,46086
wagtail-factories,45937
django-role-permissions,45889
django-cities-light,45799
django-modeladmin-reorder,45732
django-betterforms,45611
django-extra-settings,44284
django-memoize,43989
django-field-history,43494
django-zeal,43299
django-pg-zero-downtime-migrations,43206
django-scheduler,42993
django-naomi,42760
django-advanced-filters,42415
django-db-logger,42211
django-pgcrypto,42161
django-mailjet,42062
django-socio-grpc,41754
django-ebhealthcheck,41752
django-opensearch-dsl,41449
django-map-widgets,41394
django-deprecated-field,41312
django-logentry-admin,41263
drf-typed-views,41249
django-phonenumbers,41099
djangorestframework-yaml,40793
django-esi,40403
django-versatileimagefield,40335
drf-recaptcha,40148
django-debug-toolbar-template-profiler,40041
django-threadlocals,40039
django-settings-holder,40032
djangocms-text-ckeditor,39864
django-querysetsequence,39762
django-fieldsignals,39519
django-redshift-backend,39425
drf-api-logger,39251
django-q-sentry,39210
django-db-file-storage,39166
djangocms-text,38921
django-tz-detect,38901
django-seal,38799
django-markup,38646
django-meta,38630
django-proxy,38216
django-watson,38147
django-schema-viewer,38051
django-enumchoicefield,37906
django-nmb,37744
django-trench,37338
djc-core,37333
django-mssql-backend,37154
django-syzygy,37085
django-clearcache,36983
drf-generators,36888
django-admin-lightweight-date-hierarchy,36720
django-debug-toolbar-request-history,36658
django-google-sso,36635
django-dynamic-raw-id,36340
django-bmemcached,36025
django-allauth-2fa,35868
django-oscar-api,35785
django-pgbulk,35763
djdt-flamegraph,35760
django-debug-toolbar-template-timings,35688
django-ranged-fileresponse,35625
django-mcp-server,35622
django-admin-inline-paginator-plus,35574
django-admin-sortable,35557
drf-social-oauth2,35196
django-userforeignkey,34981
drf-api-tracking,34779
django-debreach,34614
django-sendfile2,34577
django-restql,34552
django-js-routes,34533
django-pwa,34376
django-stdimage,34287
django-pgcrypto-fields,34217
django-pattern-library,34209
django-taggit-autosuggest,34135
django-downloadview,33845
django-xff,33653
django-admin-honeypot-updated-2021,33321
django-reverse-admin,33310
django-admin-data-views,33294
django-anon,33218
django-autotyping,33044
django-signal-webhooks,32987
wagtailmedia,32768
djangocms-link,32652
django-bootstrap-v5,32537
django-admin-logs,32353
django-extra-fields,32313
django-stronghold,32292
django-helpdesk,32172
django-gravatar2,32167
django-crequest,32160
django-schema-graph,31999
django-ptree,31899
django-request-mock,31806
django-termsandconditions,31526
django-otp-twilio,31483
django-app-helper,31444
django-allauth-ui,31407
django-referrer-policy,31208
django-cas-ng,31167
django-quill-editor,31109
django-enumfield,31005
django-typomatic,30900
django-mass-edit,30817
django-parler-rest,30431
django-db-views,30422
django-avatar,30202
django-prose-editor,30101
django-filebrowser,29741
django-npm,29537
django-hierarkey,29317
django-jsonfield-backport,29264
django-timescaledb,28804
django-getenv,28683
djfernet,28661
djangocms-picture,28362
django-excel,28327
django-relativedelta,28177
django-log-formatter-asim,28133
django-measurement,28099
django-location-field,27985
django-admin-confirm,27721
django-auto-prefetch,27590
django-discover-runner,27468
django-trackings,27217
django-admin-multiple-choice-list-filter,27126
django-minio-storage,26861
dj-pagination,26807
django-ajax-tables,26787
django-custom-user,26636
django-login-required-middleware,26624
django-read-only,26589
django-admin-site-search,26531
django-image-cropping,26496
django-bootstrap-modal-forms,26491
django-smtp-ssl,26484
django-cacheback,26367
django-mailer,26235
django-feature-policy,25940
django-sqids,25911
django-dbtemplates,25784
django-cookie-consent,25746
django-queryset-csv,25675
django-middleware-global-request,25671
django-extra-checks,25570
django-auto-prefetching,25491
djantic2,25457
django-cfg,25387
django-prefix-id,25373
django-floppyforms,25283
django-mptt-admin,25277
django-enumfields2,25228
django-admin-hstore-widget,25206
drf-rw-serializers,25121
django-admin-cursor-paginator,25039
django-libs,25033
django-permission2,24977
django-prices,24916
django-eventstream,24868
django-eveuniverse,24681
django-pgtransaction,24571
django-upload-validator,24420
drf-yasg-stubs,24112
django-request-cache,23972
djangochannelsrestframework,23933
django-suit,23786
django-grip,23751
django-webpush,23620
django3-auth-saml2,23615
django-premailer,23592
django-bulk-sync,23579
django-jaiminho,23509
django-jenkins,23464
django-svelte-jsoneditor,23461
django-user-visit,23455
django-tagulous,23422
django-paypal,23392
django-flat-theme,23309
django-requestlogs,23304
django-fixture-magic,23172
django-turnstile,23162
wagtail-autocomplete,23071
django-iam-dbauth,23041
django-pg-migration-tools,23019
django-unmigrate,22891
django-rest-framework-social-oauth2,22863
django-database-view,22847
djangocms-versioning,22786
djangorestframework-oauth,22722
django-flat-responsive,22674
wagtail-headless-preview,22626
django-docs,22619
django-tagging,22599
django-adminactions,22427
django-phone-field,22377
django-easy-select2,22314
django-bulk-hooks,22247
django-webserver,22163
django-ulid,22151
django-o365mail,22051
django-livereload-server,21963
django-rest-framework-condition,21957
wagtailmenus,21855
django-import-export-celery,21811
django-searchable-encrypted-fields,21780
django-six,21744
django-macaddress,21662
django-author,21644
django-facebook,21640
django-entangled,21517
djangocms-alias,21425
django-pymemcache,21417
django-uuidfield,21265
django-scopes,21258
django-lockdown,21250
django-cors-middleware,21128
django-minify-html,21072
django-forms-bootstrap,20916
wagtail-markdown,20910
django-cogwheels,20882
djangocms-file,20873
django-ftl,20866
django-pivot,20857
django-inline-svg,20852
django-redisboard,20847
django-selectable,20823
django-request,20660
django-seed,20562
django-google-maps,20552
django-magiclink,20550
django-salesforce,20533
django-cryptography-5,20471
django-geojson,20383
django-agent-trust,20359
django-tenant-schemas,20196
django-i18nfield,20120
django-composite-field,20038
django-redis-task-lock,19929
django-override-storage,19909
django-common-helpers,19879
django-json-field-schema-validator,19722
django-pyoidc,19645
django-bulk-update-or-create,19634
django-admin-json-editor,19613
django-email-bandit,19583
django-multi-captcha-admin,19578
django-modern-rpc,19384
django-api-decorator,19356
django-tools,19302
django-drf-filepond,19271
django-api-admin,19246
django-admin-action-forms,19225
django-fast-update,19217
django-chartjs,19186
django-hashids,19075
django-unique-upload,19063
django-probes,19023
django-oidc-provider,18974
django-twilio,18950
django5-scheduler,18949
django-bower,18944
django-bootstrap-icons,18877
django-db-mutex,18788
django-fernet-fields,18785
django-mirage-field,18773
django-model-info,18746
djangocms-video,18715
django-clamd,18671
django-log-formatter-ecs,18640
django-citext,18624
django-jet-reboot,18617
django-database-locks,18537
django4-inline-actions,18512
django-computedfields,18500
django-xforwardedfor-middleware,18449
django-jquery-js,18362
django-tracking2,18320
django-admin-display,18301
drf-yasg2,18270
django-jsonview,18251
django-brotli,18167
django-cookies-samesite,18154
djangoldp,18070
django-zxcvbn-password,18052
django-apptemplates,17980
dj-cache-panel,17912
django-url-filter,17736
drf-recursive,17695
drf-oidc-auth,17639
django-formset-js-improved,17596
djangosaml2idp2,17538
django-querystring-tag,17511
django-tenants-smart-executor,17496
django-material,17444
django-storage-swift,17321
django-staff-sso-client,17302
django-pyodbc-azure,17219
django-multiupload,17146
djangorestframework-jsonp,17131
django-azure-auth,17110
django-tempus-dominus,17017
django-integrity,16984
django-rest-framework-mongoengine,16915
django-lb-health-check,16883
django-markdown,16859
django-microsoft-auth,16814
django-gmailapi-backend,16795
django-markdown-deux,16785
django-mdeditor,16777
django-admin-sso,16765
django-sans-db,16752
django-simpleui,16741
django-monthfield,16737
django-models-redis-cache,16689
django-tailwind-cli,16525
django-cockroachdb,16427
django-admin-searchable-dropdown,16412
django-enum-choices,16312
djangorestframework-version-transforms,16288
django-scrubber,16261
django-lrucache-backend,16190
wagtail-cache,16147
django-unicorn,16144
django-aesfield,16075
django-static-precompiler,16072
mezzanine,16053
django-social-share,16015
wagtail-color-panel,15940
drf-ujson2,15882
django-bootstrap4-form,15873
django-kafka,15849
django-admin-honeypot,15838
django-clear-cache,15832
django-minio-backend,15810
django-durationwidget,15776
django-readonly-field,15776
django-mailbox,15766
django-honeypot,15735
django-bulk-drf,15712
wagtail-seo,15664
django-markupfield,15626
django-excel-response2,15623
django-baton,15614
django-sass,15613
django-rainbowtests,15565
drf-spectacular-jsonapi,15565
django-sns-view,15544
django-basicauth,15485
django-bootstrap-pagination,15461
django-custom-commands,15432
django-jsonsuit,15416
django-codenerix,15392
django-memoized-prefetch,15372
django-pagedown,15368
djangocms-style,15367
drf-yasg-json-api,15336
django-admin-numeric-filter,15302
django-rename-app,15265
django-translated-fields,15249
django-authtools,15232
django-rest-registration,15188
django-inlinecss,15129
django-huey,15102
django-raw-sugar,15069
django-signal-disabler,15034
django-markdownfield,15012
django-subscriptions,14982
django-typed-models,14954
django-opentracing,14922
django-restit,14915
django-auto-logout,14888
django-mermaid,14886
django-smart-ratelimit,14862
django-debug-toolbar-force,14827
django-admin,14783
django-coverage,14778
django-error-reporting,14769
django-manifest-loader,14751
drf-renderer-xlsx,14661
django-storages-redux,14661
djangocms-snippet,14578
django-admin-index,14563
django-xworkflows,14502
djangocms-googlemap,14464
django-query-prefixer,14457
django-internationalflavor,14345
django-bom,14327
django-spaghetti-and-meatballs,14293
django-aws-secrets-env-setup,14260
django-thumbnails,14234
django-admin-shell,14200
django-migrations-git-conflicts,14121
django-comments-xtd,14072
dj-notebook,14018
django-alive,13892
django-tidb,13825
django-hijack-admin,13803
django-requestlogging-redux,13783
django-admin-ordering,13713
django-dbml,13682
wagtailvideos,13639
django-mail-panel,13636
django-singleton-admin-2,13636
django-link-shortener,13619
django-privates,13613
django-simple-menu,13592
djangocms-frontend,13553
