date,downloads
2024-03-20,308573
2024-03-19,322991
2024-03-18,198141
2024-03-17,62892
2024-03-16,141426
2024-03-15,274749
2024-03-14,305898
2024-03-13,303392
2024-03-12,315902
2024-03-11,203906
2024-03-10,65819
2024-03-09,158625
2024-03-08,291019
2024-03-07,327439
2024-03-06,322564
2024-03-05,338903
2024-03-04,217985
2024-03-03,72527
2024-03-02,176955
2024-03-01,326118
2024-02-29,373753
2024-02-28,373471
2024-02-27,426475
2024-02-26,226790
2024-02-25,75793
2024-02-24,155316
2024-02-23,281519
2024-02-22,316362
2024-02-21,306385
2024-02-20,256577
2024-02-19,190224
2024-02-18,63661
2024-02-17,151305
2024-02-16,275881
2024-02-15,297252
2024-02-14,282652
2024-02-13,308863
2024-02-12,169058
2024-02-11,58968
2024-02-10,147076
2024-02-09,268524
2024-02-08,295707
2024-02-07,304286
2024-02-06,321995
2024-02-05,206183
2024-02-04,73550
2024-02-03,146711
2024-02-02,286911
2024-02-01,311887
2024-01-31,311583
2024-01-30,306061
2024-01-29,193788
2024-01-28,68030
2024-01-27,143122
2024-01-26,253939
2024-01-25,280866
2024-01-24,285743
2024-01-23,288761
2024-01-22,195145
2024-01-21,76308
2024-01-20,158517
2024-01-19,269926
2024-01-18,297888
2024-01-17,309117
2024-01-16,248382
2024-01-15,188491
2024-01-14,80308
2024-01-13,158792
2024-01-12,286884
2024-01-11,284547
2024-01-10,312406
2024-01-09,314708
2024-01-08,178354
2024-01-07,81378
2024-01-06,158377
2024-01-05,252257
2024-01-04,257649
2024-01-03,243076
2024-01-02,147458
2024-01-01,88593
2023-12-31,73418
2023-12-30,100483
2023-12-29,147712
2023-12-28,165105
2023-12-27,159044
2023-12-26,132132
2023-12-25,108969
2023-12-24,71100
2023-12-23,121602
2023-12-22,228287
2023-12-21,261409
2023-12-20,272477
2023-12-19,292261
2023-12-18,197220
2023-12-17,81392
2023-12-16,157378
2023-12-15,263970
2023-12-14,284449
2023-12-13,292252
2023-12-12,310487
2023-12-11,202835
2023-12-10,81614
2023-12-09,158630
2023-12-08,271386
2023-12-07,281926
2023-12-06,296592
2023-12-05,303934
2023-12-04,193857
2023-12-03,81181
2023-12-02,167715
2023-12-01,285359
2023-11-30,309146
2023-11-29,306096
2023-11-28,297740
2023-11-27,193889
2023-11-26,78320
2023-11-25,112853
2023-11-24,219440
2023-11-23,244779
2023-11-22,300594
2023-11-21,294512
2023-11-20,195820
2023-11-19,78907
2023-11-18,164133
2023-11-17,279743
2023-11-16,286079
2023-11-15,301697
2023-11-14,313963
2023-11-13,188865
2023-11-12,76564
2023-11-11,143890
2023-11-10,271543
2023-11-09,296357
2023-11-08,307481
2023-11-07,317658
2023-11-06,196919
2023-11-05,79418
2023-11-04,163140
2023-11-03,264826
2023-11-02,293174
2023-11-01,292262
2023-10-31,302745
2023-10-30,206558
2023-10-29,88248
2023-10-28,159099
2023-10-27,270171
2023-10-26,297970
2023-10-25,296694
2023-10-24,291299
2023-10-23,202591
2023-10-22,77396
2023-10-21,147559
2023-10-20,288806
