pre_release,version,downloads_count
5.2,1.8.18,2682
5.2,1.8.17,2331
5.2,1.8.16,35468
5.2,1.8.15,2630
5.2,1.8.14,3401
5.2,1.8.13,1090
5.2,1.8.12,2157
5.2,1.8.11,1552
5.2,1.8.10,743
5.2,1.8.1,1176
5.2,1.8,19479
5.2,1.7.9,670
5.2,1.7.8,879
5.2,1.7.7,40604
5.2,1.7.6,1109
5.2,1.7.5,871
5.2,1.7.4,2084
5.2,1.7.3,902
5.2,1.7.2,835
5.2,1.7.11,4540
5.2,1.7.10,2653
5.2,1.7.1,6482
5.2,1.7,4308
5.2,1.6.9,622
5.2,1.6.8,1133
5.2,1.6.7,1285
5.2,1.6.6,1063
5.2,1.6.5,4653
5.2,1.6.4,960
5.2,1.6.3,752
5.2,1.6.2,15665
5.2,1.6.11,7588
5.2,1.6.10,2311
5.2,1.6.1,16108
5.2,1.6,2618
5.2,1.5.9,489
5.2,1.5.8,726
5.2,1.5.7,576
5.2,1.5.6,448
5.2,1.5.5,1694
5.2,1.5.4,1212
5.2,1.5.3,464
5.2,1.5.2,1014
5.2,1.5.12,1737
5.2,1.5.11,810
5.2,1.5.10,440
5.2,1.5.1,2067
5.2,1.5,1498
5.2,1.4.9,465
5.2,1.4.8,511
5.2,1.4.7,445
5.2,1.4.6,450
5.2,1.4.5,29723
5.2,1.4.4,453
5.2,1.4.3,1085
5.2,1.4.22,1968
5.2,1.4.21,450
5.2,1.4.20,452
5.2,1.4.2,822
5.2,1.4.19,552
5.2,1.4.18,542
5.2,1.4.17,453
5.2,1.4.16,506
5.2,1.4.15,494
5.2,1.4.14,433
5.2,1.4.13,588
5.2,1.4.12,441
5.2,1.4.11,940
5.2,1.4.10,653
5.2,1.4.1,1073
5.2,1.4,1291
5.2,1.3.7,1092
5.2,1.3.6,452
5.2,1.3.5,444
5.2,1.3.4,466
5.2,1.3.3,446
5.2,1.3.2,459
5.2,1.3.1,1157
5.2,1.3,1162
5.2,1.2.7,723
5.2,1.2.6,371
5.2,1.2.5,741
5.2,1.2.4,445
5.2,1.2.3,525
5.2,1.2.2,395
5.2,1.2.1,507
5.2,1.2,246870
5.2,1.11rc1,599
5.2,1.11b1,296
5.2,1.11a1,320
5.2,1.11.9,2386
5.2,1.11.8,3148
5.2,1.11.7,20766
5.2,1.11.6,6949
5.2,1.11.5,8328
5.2,1.11.4,10773
5.2,1.11.3,37858
5.2,1.11.29,248840
5.2,1.11.28,254731
5.2,1.11.27,4887
5.2,1.11.26,3188
5.2,1.11.25,1404
5.2,1.11.24,2065
5.2,1.11.23,8089
5.2,1.11.22,2538
5.2,1.11.21,1807
5.2,1.11.20,4974
5.2,1.11.2,6374
5.2,1.11.19,3
5.2,1.11.18,2172
5.2,1.11.17,14305
5.2,1.11.16,6761
5.2,1.11.15,7217
5.2,1.11.14,1723
5.2,1.11.13,3998
5.2,1.11.12,2264
5.2,1.11.11,7140
5.2,1.11.10,3418
5.2,1.11.1,7997
5.2,1.11,28622
5.2,1.10rc1,533
5.2,1.10b1,1150
5.2,1.10a1,553
5.2,1.10.8,17865
5.2,1.10.7,2647
5.2,1.10.6,6191
5.2,1.10.5,9252
5.2,1.10.4,4392
5.2,1.10.3,5185
5.2,1.10.2,3131
5.2,1.10.1,2474
5.2,1.10,10247
5.2,1.1.4,495
